psp_reference,merchant_account,transaction_date,invoice_number,dealership_name,mid,category,subcategory,payment_method,entry_mode,payment_product,amount,gross_amount,commission,net_amount,currency,payment_currency,settlement_currency,exchange_rate,status
PSP8515549676,AutoNationUS,2025-06-10,SMa-1002-2057,AutoNation Toyota Austin,MID1002,Services,Maintenance,MOTO,MOTO,visa,821.87,821.87,1.15,820.72,USD,USD,USD,1.0,Settled
PSP3392197093,AutoNationUS,2025-06-26,PEn-1001-6975,AutoNation Ford Miami,MID1001,Parts,Engine,MOTO,POS,mc,2874.86,2874.86,1.28,2873.58,USD,USD,USD,1.0,Settled
PSP4199619401,AutoNationUS,2025-06-28,SMa-1002-3979,AutoNation Toyota Austin,MID1002,Services,Maintenance,Card,POS,discover,1964.21,1964.21,1.22,1962.99,USD,USD,USD,1.0,Pending
PSP9730274824,AutoNationUS,2025-07-03,PEl-1001-5634,AutoNation Ford Miami,MID1001,Parts,Electrical,MOTO,POS,discover,2329.48,2329.48,1.79,2327.69,USD,USD,USD,1.0,Refunded
PSP5227579332,AutoNationUS,2025-06-20,SMa-1001-3919,AutoNation Ford Miami,MID1001,Services,Maintenance,Card,POS,amex,6043.18,6043.18,2.07,6041.11,USD,USD,USD,1.0,Pending
PSP3332104983,AutoNationUS,2025-06-22,SUs-1005-1697,AutoNation BMW Seattle,MID1005,Sales,Used Cars,Card,MOTO,mc,8468.98,8468.98,1.62,8467.36,USD,USD,USD,1.0,Settled
PSP1464287851,AutoNationUS,2025-06-19,SUs-1004-4045,AutoNation Honda Phoenix,MID1004,Sales,Used Cars,MOTO,MOTO,discover,7310.65,7310.65,2.68,7307.97,USD,USD,USD,1.0,Settled
PSP1824310413,AutoNationUS,2025-06-27,PEn-1001-6501,AutoNation Ford Miami,MID1001,Parts,Engine,MOTO,MOTO,mc,9320.66,9320.66,1.45,9319.21,USD,USD,USD,1.0,Settled
PSP9409415735,AutoNationUS,2025-06-14,SNo-1001-1467,AutoNation Ford Miami,MID1001,Services,Non-Warranty,Card,POS,discover,4090.91,4090.91,2.87,4088.04,USD,USD,USD,1.0,Pending
PSP6700554590,AutoNationUS,2025-06-09,SNo-1001-4085,AutoNation Ford Miami,MID1001,Services,Non-Warranty,MOTO,MOTO,discover,4287.8,4287.8,1.13,4286.67,USD,USD,USD,1.0,Pending
PSP4446566015,AutoNationUS,2025-06-15,PEl-1001-2116,AutoNation Ford Miami,MID1001,Parts,Electrical,Card,MOTO,discover,2504.79,2504.79,2.65,2502.14,USD,USD,USD,1.0,Settled
PSP4256807859,AutoNationUS,2025-06-29,SWa-1002-1301,AutoNation Toyota Austin,MID1002,Services,Warranty,MOTO,MOTO,visa,4902.37,4902.37,1.12,4901.25,USD,USD,USD,1.0,Refunded
PSP1890509368,AutoNationUS,2025-06-17,SMa-1004-7630,AutoNation Honda Phoenix,MID1004,Services,Maintenance,Card,MOTO,amex,7364.22,7364.22,2.64,7361.58,USD,USD,USD,1.0,Pending
PSP2960468864,AutoNationUS,2025-07-01,SUs-1003-2499,AutoNation Mercedes Dallas,MID1003,Sales,Used Cars,MOTO,POS,amex,5634.17,5634.17,1.73,5632.44,USD,USD,USD,1.0,Refunded
PSP4177837873,AutoNationUS,2025-06-04,SWa-1001-3615,AutoNation Ford Miami,MID1001,Services,Warranty,Card,MOTO,discover,6630.59,6630.59,2.72,6627.87,USD,USD,USD,1.0,Pending
PSP3190168937,AutoNationUS,2025-06-12,SNe-1001-1126,AutoNation Ford Miami,MID1001,Sales,New Cars,Card,MOTO,discover,4689.54,4689.54,1.03,4688.51,USD,USD,USD,1.0,Settled
PSP4261207883,AutoNationUS,2025-06-08,SNe-1004-3306,AutoNation Honda Phoenix,MID1004,Sales,New Cars,MOTO,POS,discover,6272.3,6272.3,1.94,6270.36,USD,USD,USD,1.0,Pending
PSP5530987880,AutoNationUS,2025-06-04,SUs-1001-3215,AutoNation Ford Miami,MID1001,Sales,Used Cars,Card,MOTO,discover,5421.32,5421.32,1.71,5419.61,USD,USD,USD,1.0,Refunded
PSP5474411141,AutoNationUS,2025-06-09,PTr-1005-2220,AutoNation BMW Seattle,MID1005,Parts,Transmission,Card,POS,mc,9189.98,9189.98,2.37,9187.61,USD,USD,USD,1.0,Settled
PSP6952135524,AutoNationUS,2025-06-22,SNe-1004-7811,AutoNation Honda Phoenix,MID1004,Sales,New Cars,Card,POS,mc,1522.6,1522.6,2.25,1520.35,USD,USD,USD,1.0,Refunded
PSP3243522460,AutoNationUS,2025-06-06,SUs-1005-2955,AutoNation BMW Seattle,MID1005,Sales,Used Cars,Card,POS,mc,7594.43,7594.43,3.01,7591.42,USD,USD,USD,1.0,Pending
PSP4903147205,AutoNationUS,2025-06-23,SUs-1002-5709,AutoNation Toyota Austin,MID1002,Sales,Used Cars,MOTO,MOTO,amex,8386.5,8386.5,1.65,8384.85,USD,USD,USD,1.0,Pending
PSP9321493996,AutoNationUS,2025-06-04,SUs-1005-1651,AutoNation BMW Seattle,MID1005,Sales,Used Cars,MOTO,POS,discover,4193.23,4193.23,3.38,4189.85,USD,USD,USD,1.0,Refunded
PSP5580031494,AutoNationUS,2025-06-27,SWa-1001-6132,AutoNation Ford Miami,MID1001,Services,Warranty,MOTO,POS,mc,797.18,797.18,1.34,795.84,USD,USD,USD,1.0,Pending
PSP2046215363,AutoNationUS,2025-06-17,SNe-1002-2573,AutoNation Toyota Austin,MID1002,Sales,New Cars,MOTO,POS,mc,3404.31,3404.31,2.78,3401.53,USD,USD,USD,1.0,Refunded
PSP5536467301,AutoNationUS,2025-06-23,SWa-1001-5458,AutoNation Ford Miami,MID1001,Services,Warranty,MOTO,MOTO,visa,3429.17,3429.17,1.58,3427.59,USD,USD,USD,1.0,Refunded
PSP1559944836,AutoNationUS,2025-06-23,SWa-1002-2977,AutoNation Toyota Austin,MID1002,Services,Warranty,MOTO,POS,amex,9019.59,9019.59,2.48,9017.11,USD,USD,USD,1.0,Pending
PSP2795731139,AutoNationUS,2025-06-21,PTr-1005-7652,AutoNation BMW Seattle,MID1005,Parts,Transmission,Card,POS,visa,9336.51,9336.51,3.23,9333.28,USD,USD,USD,1.0,Refunded
PSP9611360006,AutoNationUS,2025-06-09,SNe-1003-7275,AutoNation Mercedes Dallas,MID1003,Sales,New Cars,MOTO,MOTO,mc,3777.02,3777.02,2.5,3774.52,USD,USD,USD,1.0,Pending
PSP7431845006,AutoNationUS,2025-06-29,SUs-1002-2377,AutoNation Toyota Austin,MID1002,Sales,Used Cars,MOTO,MOTO,amex,3316.37,3316.37,3.2,3313.17,USD,USD,USD,1.0,Settled
PSP6015999590,AutoNationUS,2025-06-05,PEn-1002-1144,AutoNation Toyota Austin,MID1002,Parts,Engine,Card,MOTO,amex,1920.87,1920.87,1.79,1919.08,USD,USD,USD,1.0,Settled
PSP1203965244,AutoNationUS,2025-07-02,PEl-1002-5628,AutoNation Toyota Austin,MID1002,Parts,Electrical,MOTO,POS,visa,9668.74,9668.74,2.04,9666.7,USD,USD,USD,1.0,Settled
PSP5108056725,AutoNationUS,2025-06-21,SUs-1001-5301,AutoNation Ford Miami,MID1001,Sales,Used Cars,Card,POS,visa,708.07,708.07,1.56,706.51,USD,USD,USD,1.0,Settled
PSP8815358389,AutoNationUS,2025-06-04,SWa-1001-5364,AutoNation Ford Miami,MID1001,Services,Warranty,Card,POS,amex,4733.72,4733.72,2.47,4731.25,USD,USD,USD,1.0,Settled
PSP7709821985,AutoNationUS,2025-06-06,SWa-1001-5125,AutoNation Ford Miami,MID1001,Services,Warranty,MOTO,MOTO,mc,5582.93,5582.93,3.32,5579.61,USD,USD,USD,1.0,Settled
PSP1733854487,AutoNationUS,2025-06-23,PEl-1001-4243,AutoNation Ford Miami,MID1001,Parts,Electrical,Card,POS,mc,8661.01,8661.01,2.65,8658.36,USD,USD,USD,1.0,Pending
PSP3745573535,AutoNationUS,2025-07-01,SNe-1005-9477,AutoNation BMW Seattle,MID1005,Sales,New Cars,Card,MOTO,mc,6641.19,6641.19,2.13,6639.06,USD,USD,USD,1.0,Refunded
PSP6500653964,AutoNationUS,2025-06-03,SUs-1001-2119,AutoNation Ford Miami,MID1001,Sales,Used Cars,MOTO,POS,amex,9286.91,9286.91,2.69,9284.22,USD,USD,USD,1.0,Refunded
PSP3871417926,AutoNationUS,2025-06-05,SUs-1001-8317,AutoNation Ford Miami,MID1001,Sales,Used Cars,Card,MOTO,visa,5248.09,5248.09,2.48,5245.61,USD,USD,USD,1.0,Refunded
PSP9436546987,AutoNationUS,2025-06-10,SNo-1001-2219,AutoNation Ford Miami,MID1001,Services,Non-Warranty,Card,POS,amex,2168.38,2168.38,1.59,2166.79,USD,USD,USD,1.0,Refunded
PSP6042921549,AutoNationUS,2025-06-06,SNe-1005-3668,AutoNation BMW Seattle,MID1005,Sales,New Cars,MOTO,POS,discover,1495.05,1495.05,2.21,1492.84,USD,USD,USD,1.0,Refunded
PSP5211372714,AutoNationUS,2025-06-28,PEl-1003-7975,AutoNation Mercedes Dallas,MID1003,Parts,Electrical,MOTO,MOTO,visa,5080.91,5080.91,3.36,5077.55,USD,USD,USD,1.0,Refunded
PSP4668104829,AutoNationUS,2025-06-11,SNe-1001-6404,AutoNation Ford Miami,MID1001,Sales,New Cars,Card,POS,visa,2680.09,2680.09,2.5,2677.59,USD,USD,USD,1.0,Settled
PSP6670129112,AutoNationUS,2025-07-03,SMa-1002-2395,AutoNation Toyota Austin,MID1002,Services,Maintenance,Card,POS,mc,8489.06,8489.06,2.01,8487.05,USD,USD,USD,1.0,Pending
PSP9569212910,AutoNationUS,2025-06-10,PTr-1003-7055,AutoNation Mercedes Dallas,MID1003,Parts,Transmission,Card,POS,mc,9540.64,9540.64,3.46,9537.18,USD,USD,USD,1.0,Settled
PSP9166640326,AutoNationUS,2025-06-14,PEl-1005-2828,AutoNation BMW Seattle,MID1005,Parts,Electrical,Card,POS,mc,9397.42,9397.42,2.96,9394.46,USD,USD,USD,1.0,Settled
PSP7383064394,AutoNationUS,2025-06-28,SUs-1002-1500,AutoNation Toyota Austin,MID1002,Sales,Used Cars,Card,POS,mc,9799.17,9799.17,1.18,9797.99,USD,USD,USD,1.0,Pending
PSP8317779254,AutoNationUS,2025-06-15,PEn-1004-4891,AutoNation Honda Phoenix,MID1004,Parts,Engine,Card,MOTO,discover,2171.92,2171.92,1.74,2170.18,USD,USD,USD,1.0,Settled
PSP4818344009,AutoNationUS,2025-06-20,SWa-1005-3128,AutoNation BMW Seattle,MID1005,Services,Warranty,MOTO,MOTO,amex,9442.64,9442.64,2.05,9440.59,USD,USD,USD,1.0,Settled
PSP3272956850,AutoNationUS,2025-06-21,SMa-1002-5862,AutoNation Toyota Austin,MID1002,Services,Maintenance,Card,POS,amex,6960.18,6960.18,2.57,6957.61,USD,USD,USD,1.0,Pending
PSP9736669796,AutoNationUS,2025-06-13,SNo-1003-4955,AutoNation Mercedes Dallas,MID1003,Services,Non-Warranty,MOTO,MOTO,discover,3374.61,3374.61,2.74,3371.87,USD,USD,USD,1.0,Settled
PSP2459521544,AutoNationUS,2025-07-02,SMa-1003-6711,AutoNation Mercedes Dallas,MID1003,Services,Maintenance,Card,POS,visa,2350.95,2350.95,2.91,2348.04,USD,USD,USD,1.0,Pending
PSP9985257890,AutoNationUS,2025-07-02,SUs-1002-9454,AutoNation Toyota Austin,MID1002,Sales,Used Cars,Card,MOTO,mc,7644.47,7644.47,2.58,7641.89,USD,USD,USD,1.0,Settled
PSP5613585595,AutoNationUS,2025-06-20,SUs-1003-8554,AutoNation Mercedes Dallas,MID1003,Sales,Used Cars,MOTO,POS,discover,1622.06,1622.06,1.42,1620.64,USD,USD,USD,1.0,Refunded
PSP3934912624,AutoNationUS,2025-06-28,SNe-1002-5488,AutoNation Toyota Austin,MID1002,Sales,New Cars,MOTO,MOTO,visa,4355.06,4355.06,3.48,4351.58,USD,USD,USD,1.0,Settled
PSP3489045637,AutoNationUS,2025-06-22,PEl-1003-7465,AutoNation Mercedes Dallas,MID1003,Parts,Electrical,MOTO,POS,amex,8128.99,8128.99,1.58,8127.41,USD,USD,USD,1.0,Pending
PSP1390107786,AutoNationUS,2025-06-07,SMa-1003-4274,AutoNation Mercedes Dallas,MID1003,Services,Maintenance,MOTO,MOTO,visa,5669.62,5669.62,2.75,5666.87,USD,USD,USD,1.0,Refunded
PSP3150673161,AutoNationUS,2025-06-03,SUs-1001-4307,AutoNation Ford Miami,MID1001,Sales,Used Cars,MOTO,MOTO,discover,2039.8,2039.8,1.93,2037.87,USD,USD,USD,1.0,Pending
PSP4873147773,AutoNationUS,2025-06-29,PEl-1002-8261,AutoNation Toyota Austin,MID1002,Parts,Electrical,Card,MOTO,amex,5364.28,5364.28,1.67,5362.61,USD,USD,USD,1.0,Refunded
PSP9791641553,AutoNationUS,2025-06-06,PTr-1003-1150,AutoNation Mercedes Dallas,MID1003,Parts,Transmission,Card,MOTO,mc,5221.68,5221.68,2.22,5219.46,USD,USD,USD,1.0,Refunded
PSP8541245096,AutoNationUS,2025-07-01,SNe-1004-2484,AutoNation Honda Phoenix,MID1004,Sales,New Cars,Card,MOTO,mc,3994.13,3994.13,2.15,3991.98,USD,USD,USD,1.0,Refunded
PSP9099892899,AutoNationUS,2025-06-20,PEn-1005-3030,AutoNation BMW Seattle,MID1005,Parts,Engine,MOTO,POS,amex,7311.46,7311.46,1.36,7310.1,USD,USD,USD,1.0,Settled
PSP5334931563,AutoNationUS,2025-06-10,PEn-1005-3043,AutoNation BMW Seattle,MID1005,Parts,Engine,MOTO,POS,discover,8880.97,8880.97,2.25,8878.72,USD,USD,USD,1.0,Refunded
PSP2333537501,AutoNationUS,2025-06-11,SWa-1002-3650,AutoNation Toyota Austin,MID1002,Services,Warranty,Card,POS,amex,3993.99,3993.99,1.66,3992.33,USD,USD,USD,1.0,Pending
PSP2439988683,AutoNationUS,2025-06-14,PTr-1002-7857,AutoNation Toyota Austin,MID1002,Parts,Transmission,MOTO,MOTO,amex,4614.11,4614.11,3.36,4610.75,USD,USD,USD,1.0,Pending
PSP6079160921,AutoNationUS,2025-06-23,PEl-1001-1307,AutoNation Ford Miami,MID1001,Parts,Electrical,MOTO,MOTO,amex,9001.38,9001.38,3.25,8998.13,USD,USD,USD,1.0,Settled
PSP3697843070,AutoNationUS,2025-06-17,PEn-1003-3854,AutoNation Mercedes Dallas,MID1003,Parts,Engine,Card,POS,visa,4540.41,4540.41,1.4,4539.01,USD,USD,USD,1.0,Pending
PSP5430235289,AutoNationUS,2025-06-13,PTr-1004-4915,AutoNation Honda Phoenix,MID1004,Parts,Transmission,Card,MOTO,mc,4299.53,4299.53,2.42,4297.11,USD,USD,USD,1.0,Settled
PSP4976758121,AutoNationUS,2025-06-25,PEn-1005-3277,AutoNation BMW Seattle,MID1005,Parts,Engine,MOTO,MOTO,visa,5331.47,5331.47,2.51,5328.96,USD,USD,USD,1.0,Settled
PSP8172873879,AutoNationUS,2025-07-03,SNe-1002-3476,AutoNation Toyota Austin,MID1002,Sales,New Cars,Card,MOTO,amex,1107.18,1107.18,2.46,1104.72,USD,USD,USD,1.0,Refunded
PSP7959562361,AutoNationUS,2025-06-16,SNe-1004-6245,AutoNation Honda Phoenix,MID1004,Sales,New Cars,Card,MOTO,discover,2604.15,2604.15,1.36,2602.79,USD,USD,USD,1.0,Refunded
PSP9347083247,AutoNationUS,2025-06-12,SNe-1003-7393,AutoNation Mercedes Dallas,MID1003,Sales,New Cars,MOTO,POS,mc,8642.91,8642.91,3.05,8639.86,USD,USD,USD,1.0,Refunded
